course_id,code,name,description,prerequisites,department,semester,credits
ENT201,ENT201,Foundations of Entrepreneurship,Introduction to Foundations of Entrepreneurship,[],All,3,4
ECE215,ECE215,Circuit Theory and Devices,Introduction to Circuit Theory and Devices,[],"Electronics & Communication Engineering
",3,4
ENT202,ENT202,Social Entrepreneurship,Introduction to Social Entrepreneurship,[],All,3,4
BIO211,BIO211,Cell Biology and Biochemistry,Basic understanding of Cell Biology and Biochemistry,[],All,3,4
BIO214,BIO214,Genetics and Molecular Biology,Introduction to Genetics and Molecular Biology,[],All,3,4
CSE121,CSE121,Discrete Mathematics,Introduction to Discrete Mathematics,[],"Computer Science and Social Sciences
",3,4
CSE231,CSE231,Operating Systems),Introduction to Operating Systems,[],All,3,4
DES201,DES201,Design Processes and Perspectives,Introduction to Design Processes and Perspectives,[],All,3,4
MTH210,MTH210,Discrete Structures,Introduction to Discrete Structures,[],All,3,4
MTH211,MTH211,Number Theory,Introduction to Number Theory,[],"Computer Science and Engineering
",3,4
MTH240,MTH240,Real Analysis I,Introduction to Real Analysis,[],"Computer Science and Engineering
",3,4
ECE250,ECE250,Signals and Systems,Introduction to Signals and Systems,[],"Electronics & Communication Engineering
",3,4
SSH240,SSH240,Politics in Digital Era,Introduction to Politics in Digital Era,[],All,3,4
MTH203,MTH203,Maths 3: Multivariate Calculus,Introduction to Multivariate Calculus,[],All,3,4
SSH201,SSH201,Research Methods in Social Science and Design,Introduction to Research Methods in Social Science and Design,[],"Computer Science and Social Sciences
",3,4
BIO221,BIO221,Practical Bioinformatics,Introduction to Practical Bioinformatics,[],Computer Science and Biosciences,4,4
CSE342,CSE342,Statistical Machine Learning,Introduction to Statistical Machine Learning,['CSE102A;CSE102B'],"Computer Science and Engineering
",4,4
ECE356,ECE356,Statistical Machine Learning,Introduction to Statistical Machine Learning,['CSE102A;CSE102B'],"Computer Science and Engineering
",4,4
DES205,DES205,Design of Interactive Systems,Introduction to design of interactive systems,['DES101'],"Computer Science and Design
",4,4
DES206,DES206,Prototyping Interactive Systems,Introduction to prototyping interactive systems,['DES101'],"Computer Science and Design
",4,4
ECE214,ECE214,Integrated Electronics,Advanced Electronics Concepts,['ECE113A;ECE113B'],"Electronics & Communication Engineering
",4,4
ECE230,ECE230,Fields and Waves,Introduction to fields and waves,['ECE113A;ECE113B'],"Electronics & Communication Engineering
",4,4
ECE240,ECE240,Principles of Communication Systems,Introduction to principles of communication systems,['ECE113A;ECE113B'],"Electronics & Communication Engineering
",4,4
ECE210,ECE210,Physics of Semiconductor Devices,Introduction to physics of semiconductor devices,['ECE113A;ECE113B'],"Electronics & Communication Engineering
",4,4
ECE211,ECE211,Electronic System Design,Introduction to electronic system design,['ECE113A;ECE113B'],"Electronics & Communication Engineering
",4,4
CSE202,CSE202,Fundamentals of Database Systems (Sec A),Introduction to Database Concepts and Design,['CSE102A;CSE102B'],"Computer Science and Engineering
",4,4
CSE222,CSE222,Analysis and Design of Algorithms (Sec A),Advanced algorithmic techniques,['CSE102A;CSE102B'],"Computer Science and Engineering
",4,4
MTH204,MTH204,Maths IV - ODE/PDE (Sec A),Introduction to ordinary differential equations and partial differential equations,['MTH204B;MTH203A;MTH203B'],All,4,4
SOC216,SOC216,"Political Anthropology: State, Subject, Power","Introduction to Political Anthropology: State, Subject, Power",[],All,3,4
SSH221,SSH221,Social & Political Philosophy,Introduction to Social & Political Philosophy,[],All,3,4
MTH212,MTH212,Abstract Algebra I,Introduction to Abstract Algebra,[],Computer Science and Applied Mathematics,4,4
MTH377,MTH377,Convex Optimization,Introduction to convex optimization,[],"Computer Science and Social Sciences
",4,4
ECO221,ECO221,Econometrics I,Introduction to econometrics,['MTH201A;MTH201B'],"Computer Science and Social Sciences
",4,4
