uuid,course_code,course_acronym,course_name,dept_acronym,description,credits,prerequisites,antirequisites,semester,semester_type,professor_allocated,schedule,related_course_codes,created_at,updated_at,suitable tags
0133f0e6-d941-4c83-82ee-7b615a33edb0,COM301A,TCOM,Technical Communication,OTHERS,"Technical Writing is a two-credit, practice-oriented course that provides a complete process for planning, writing, and editing technical documents, with a greater focus on critical thinking and structuring. Students will explore the principles of effective written communication and critical reading, examine a variety of professional writing samples to gain an understanding of the skills needed to successfully communicate through professionally written e-mails, scientific reports, proposals and reviews. They will also learn the techniques of objective reporting on scientific and technical material; strategies of reading and writing research papers; drafting research abstracts, creating research pitch, techniques of poster designing, and making presentations. Additionally, this course will also teach students to draft their resumes, academic cover letters, statement of purpose, make editorial changes, usage of resources for literature survey, plagiarism, and the specific use of style sheets.",4,,,5,monsoon,Payal C Mukherjee,"[{""day"": ""Wednesday"", ""end_time"": ""14:00"", ""start_time"": ""12:30""}]",,52:21.9,52:21.9,"technical-writing, research-writing, scientific-communication, academic-presentations, critical-reading, professional-documents, resume-writing, plagiarism-awareness, literature-review, citation-skills, peer-feedback"
01ce13a5-1d5b-4115-99f5-6d57d7166ee0,MTH518,TNT,Topics in Number Theory,MTH,"The aim of this course is to introduce various topics in Number Theory such as Farey fractions, continued fractions, partitions, quadratic forms and geometry of numbers.",4,MTH211,,,monsoon,TBA,[],,52:16.5,52:16.5,"number-theory, continued-fractions, modular-arithmetic, quadratic-forms, partitions, primes, factorization, integer-sequences, pure-mathematics, theorem-proofing, diophantine-equations"
028d2f70-dcc1-4b33-91a7-7d08f60e1471,SOC307,DSR,Digital Social Research,SSH,"With the digital social data growing at an accelerated pace on an everyday basis, there is an urgent need for social researchers to decrypt, examine and interpret this unusually large-scale complex data fill. Doing this systemically will not only help in deciphering and understanding the social world we live in but will also help strategically combat the complex challenges of the contemporary social world. With a growing demand for such skills both in the academic and the commercial sectors, this course anchored in sociology and anthropology will provide the learners to a methodological rigour steeped in theoretical underpinnings from both these fields. Through empirical approaches suited specifically for the digital data, this course will provide the learners an opportunity to effectively engage not only in identifying interesting issues to study, but also with framing valid research questions, formulating an effective research design, sampling, data collection methods and tools, quantitative/qualitative and mixed methods analyses of the collected data and the necessary theoretical interpretation of the results. The course also aims to provide its learners an objective view of social data issues viz. reliability, replicability, reproducibility, validity and generalizability of the data and the associated methods. It will also introduce the learners to ethical implications associated with conducting digital social research.",4,,,,monsoon,TBA,[],,52:19.3,52:19.3,"digital-research, data-collection, research-methods, mixed-methods, online-surveys, social-data, web-scraping, digital-ethics, reproducibility, coding-qualitative-data, computational-social-science"
0516cf3f-96d4-48a1-a725-a346f18398ae,SOC216,PASSP,"Political Anthropology: State, Subject, Power",SSH,"To do well in this course requires a lot of reading and intellectual application. This is a hard 2xx level class. This course is an examination of politics as an activity constitutive of humanness. The course introduces students to foundational problems in political anthropology. Order, sovereignty and contestation, government, State and subject are key categories we will examine. Our first question: can there be order in the absence of a government, state, leader, sovereign? We then examine order in the context of empire and kingship, with case studies from Asia and Europe. Next, we trace the emergence of 'government' as a (modern) project of order in the political history of Europe. We look at how systems of political order are transformed during the period of Colonial rule/governance. We will then see the centrality of bureaucracy to modern governance. The second half of the course opens with inquiries into the central political forms of modern history is the 'nation' and the constitution. If constitution is one side, insurrection is its other side and we examine how both are constitutive of 'democracy'. Taking violence as an analytical object, we study the state (and its apparatuses of subjection) at the margins, treading at the limits of legality. Finally, we conclude with a discussion of the political, that is, politics as the distinction between friend and enemy. Another way to look at this course: a survey of forms of power, and the forms of subjection produced in persons subject to power. By the end of the course, students will be able to come up with a nuanced, reasoned analyses of complex problems of politics, drawing on conceptual models developed in this class.",4,,,3,monsoon,Deepak Prince,"[{""day"": ""Monday"", ""end_time"": ""18:00"", ""start_time"": ""16:30""}, {""day"": ""Wednesday"", ""end_time"": ""18:00"", ""start_time"": ""16:30""}]",,52:21.9,52:21.9,"political-anthropology, state-power, bureaucracy, sovereignty, subjectivity, colonialism, democracy, resistance-movements, power-relations, ethnographic-analysis, governance-theory"
05e75dff-0236-4fea-a3ee-4e6eec3033dd,CSE660,TAIS,Trustworthy AI systems,CSE,"Study the need for Trustworthiness of AI systems, and get an understanding of the role of various aspects such as fairness, bias, robustness, explainability, transparency, and ethical aspects of AI systems to create a Trustworthy AI system. Some of the algorithms to mitigate bias and algorithms on explainability of ML systems will also be studied.",4,"CSE643, CSE343, CSE543, ECE563, CSE342, CSE542",,,winter,TBA,[],,52:14.0,52:14.0,"trustworthy-ai, algorithmic-fairness, ethical-ai, bias-mitigation, adversarial-robustness, explainable-ai, privacy-in-ai, security-in-ml, interpretability, risk-analysis, compliance-standards"
06196b8f-3d50-480f-9208-6ca560fa8c4a,ECE240,PCS,Principles of Communication Systems,ECE,"The course is intended to be a broad introduction to Communication Systems. The course will develop understanding of the principles underlying communication systems, describe basic methods for communication and develop requisite mathematical background required for noise analysis of communication systems. The lectures will be supplemented by PyLab simulation exercises, a final term paper/project.",4,"ECE250,MTH201",,4,winter,Ranjitha Prasad,"[{""day"": ""Tuesday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}, {""day"": ""Friday"", ""end_time"": ""11:00"", ""start_time"": ""09:30""}]",,52:16.5,52:16.5,"communication-systems, analog-modulation, digital-modulation, bandwidth-efficiency, signal-processing, information-theory, noise-models, modulation-techniques, time-frequency-analysis, lab-simulation"
0687819e-8757-4c84-ae9a-2c054fee2cba,ECE564A,MLWCN D,Machine Learning in Wireless Communication and Networks,ECE,"This course will help students understand the applicability of machine learning and deep learning in wireless systems and networks. The course will start with an introduction to some of the fundamental concepts of machine learning as well as wireless communication. Then the students will be introduced with various important and interesting aspects of wireless networks, e.g., localization, spectrum sharing, mmWave communication, etc.. For each of these broad categories student will learn about case studies and applications where machine learning can be leveraged. Most of the course will be based on reading and discussing research papers. Assignments and project will be code implementation heavy.",4,ECE240,,,monsoon,TBA,[],,52:16.5,52:16.5,"machine-learning, wireless-communication, spectrum-management, channel-estimation, localization, reinforcement-learning, signal-prediction, applied-ml, radio-networks, 5G-optimization, network-intelligence"
06bdc610-5894-4695-b126-1e8a537cd0e7,ECE636,COMN,Communication Networks,ECE,"The course introduces the student to analytical tools that help analyze a communications network. We will learn to apply simple queueing models to analyze the delay, throughput, and timeliness performance of networks. We will analyze randomized multiaccess and scheduling. We will study and compare congestion control algorithms for optimizing the utilities like throughput and age of information over an end-to-end path.",4,MTH201,,,winter,TBA,[],CSE636,52:14.0,52:14.0,"computer-networks, congestion-control, queuing-theory, tcp-ip, routing-algorithms, performance-analysis, latency, throughput, packet-scheduling, network-topologies, network-simulation"
071d86d9-53b0-441a-a9c6-069b6726de1d,ECE314,DVD,Digital VLSI Design,ECE,"This course introduces students to CMOS circuits, develops first-order current-voltage and capacitance-voltage models for transistors, transfer characteristics of CMOS inverter, performance estimation for circuits through logical effort, interconnects, combinational circuit design, circuit families, sequential circuit design including clocking and latching techniques, design of datapath subsystems (adders, shifters, multipliers etc.), design of memory subsystems. A course project using state-of-the-art computer aided design (CAD) tools in VLSI gives students hands-on exposer to the most current technology/process.",4,,,5,monsoon,Anuj Grover,"[{""day"": ""Monday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}, {""day"": ""Wednesday"", ""end_time"": ""16:30"", ""start_time"": ""15:00""}]",ECE514,52:16.5,52:16.5,"vlsi-design, cmos-circuits, logic-synthesis, combinational-circuits, sequential-circuits, layout-design, spice-simulation, transistor-scaling, standard-cells, power-optimization, timing-analysis"
0842800c-3965-4c5e-990a-06cdce5f4879,CSE559,MLN,Mining Large Networks,CSE,"Networks are a fundamental tool for modeling complex social, technological, and biological systems. Coupled with the emergence of online social networks and large-scale data availability in social sciences, this course focuses on the analysis of massive networks which provide many computational, algorithmic, and modeling challenges. The course will cover recent research on the structure and analysis of such large networks and on models and algorithms that abstract their basic properties. We will explore how to practically analyze large-scale network data and how to reason about it through models for network structure and evolution. Topics covered in this course how information spreads through society; robustness and fragility of networks; algorithms for the World Wide Web; prediction and recommendation in online social networks; representation learning for large networks; etc.",4,"CSE222,CSE101,MTH201",,,winter,TBA,[],,52:14.0,52:14.0,"network-mining, graph-algorithms, social-networks, community-detection, graph-clustering, large-scale-data, diffusion-models, recommendation-systems, centrality-measures, network-visualization"
